Date,item_nbr,daily_units,avg_temp
1/1/2012,9,1139,45.09302326
1/2/2012,9,1614,39.25581395
1/3/2012,9,1025,37.02325581
1/4/2012,9,985,40.6744186
1/5/2012,9,1739,46.46511628
1/6/2012,9,1181,48.75609756
1/7/2012,9,1559,47.37209302
1/8/2012,9,1589,44.11627907
1/9/2012,9,1294,44.18604651
1/10/2012,9,1319,46.39534884
1/11/2012,9,910,47.47368421
1/12/2012,9,1017,35.60465116
1/13/2012,9,1043,37.74418605
1/14/2012,9,1211,38.8372093
1/15/2012,9,1354,41.02325581
1/16/2012,9,777,49.62790698
1/17/2012,9,978,43.30232558
1/18/2012,9,689,38.73684211
1/19/2012,9,797,40.79069767
1/20/2012,9,877,40.79069767
1/21/2012,9,1025,38.93023256
1/22/2012,9,1346,48.86046512
1/23/2012,9,1108,47.72093023
1/24/2012,9,797,49.39534884
1/25/2012,9,594,48.30232558
1/26/2012,9,845,49.34883721
1/27/2012,9,649,47.09302326
1/28/2012,9,1207,41.60465116
1/29/2012,9,1360,43.02325581
1/30/2012,9,963,47.11627907
1/31/2012,9,767,51.37209302
2/1/2012,9,1008,52.60465116
2/2/2012,9,1238,50.55813953
2/3/2012,9,929,50.44186047
2/4/2012,9,1513,44.95348837
2/5/2012,9,1661,42.27906977
2/6/2012,9,1261,42.76744186
2/7/2012,9,1050,42.97674419
2/8/2012,9,969,39.48837209
2/9/2012,9,993,42.11627907
2/10/2012,9,1507,40.62790698
2/11/2012,9,1816,30.25581395
2/12/2012,9,2092,28.1627907
2/13/2012,9,1482,35.09302326
2/14/2012,9,786,42.62790698
2/15/2012,9,906,49.27906977
2/16/2012,9,1178,48.44186047
2/17/2012,9,980,47.8372093
2/18/2012,9,1501,45.65116279
2/19/2012,9,1352,47.74418605
2/20/2012,9,1115,45.53488372
2/21/2012,9,1049,46.58139535
2/22/2012,9,936,54.44186047
2/23/2012,9,770,55.53488372
2/24/2012,9,903,45.90697674
2/25/2012,9,1147,44.37209302
2/26/2012,9,1375,46.46511628
2/27/2012,9,1008,51.69767442
2/28/2012,9,891,54.76744186
2/29/2012,9,823,53.48837209
3/1/2012,9,1328,54.3255814
3/2/2012,9,955,50.79069767
3/3/2012,9,1429,48.3255814
3/4/2012,9,1489,48.09756098
3/5/2012,9,1698,51.04651163
3/6/2012,9,1327,56.48837209
3/7/2012,9,1044,60.73170732
3/8/2012,9,797,53.39534884
3/9/2012,9,954,50.16666667
3/10/2012,9,1361,50.20930233
3/11/2012,9,1572,55.04651163
3/12/2012,9,1346,62.41860465
3/13/2012,9,1140,64.23255814
3/14/2012,9,960,66.35
3/15/2012,9,1021,64.48837209
3/16/2012,9,825,64.41860465
3/17/2012,9,885,66.55813953
3/18/2012,9,1209,66.58139535
3/19/2012,9,960,63
3/20/2012,9,978,58.13953488
3/21/2012,9,754,58.86046512
3/22/2012,9,679,59.88372093
3/23/2012,9,797,61.34883721
3/24/2012,9,821,61.74418605
3/25/2012,9,1188,61.83333333
3/26/2012,9,961,61.93023256
3/27/2012,9,673,62.8372093
3/28/2012,9,786,63.62790698
3/29/2012,9,607,64.20930233
3/30/2012,9,652,64.81395349
3/31/2012,9,965,64.65116279
4/1/2012,9,1643,69.28947368
4/2/2012,9,1249,68.91428571
4/3/2012,9,1209,60.97619048
4/4/2012,9,935,61.41860465
4/5/2012,9,1011,60.20930233
4/6/2012,9,982,59.44186047
4/7/2012,9,1295,58.97674419
4/8/2012,9,1113,58.04651163
4/9/2012,9,1230,61.79069767
4/10/2012,9,1188,62.90697674
4/11/2012,9,1106,60.11627907
4/12/2012,9,1020,59.81395349
4/13/2012,9,1048,63.04651163
4/14/2012,9,1267,66.65116279
4/15/2012,9,1564,64.1627907
4/16/2012,9,1138,61.51162791
4/17/2012,9,820,62.93023256
4/18/2012,9,730,64.60465116
4/19/2012,9,621,64.48837209
4/20/2012,9,814,61.13953488
4/21/2012,9,937,61.79069767
4/22/2012,9,1177,60.58139535
4/23/2012,9,933,58.58139535
4/24/2012,9,730,63.69767442
4/25/2012,9,628,69.1627907
4/26/2012,9,516,69.25581395
4/27/2012,9,640,68.65116279
4/28/2012,9,762,66.27906977
4/29/2012,9,883,66.97674419
4/30/2012,9,744,67.3255814
5/1/2012,9,1071,69.65116279
5/2/2012,9,743,71.65116279
5/3/2012,9,959,72.86046512
5/4/2012,9,740,74.46511628
5/5/2012,9,1137,73.27906977
5/6/2012,9,1415,72.04651163
5/7/2012,9,1290,66.44186047
5/8/2012,9,790,63.53488372
5/9/2012,9,894,66.58139535
5/10/2012,9,970,66.09302326
5/11/2012,9,939,62.6744186
5/12/2012,9,1013,65.18604651
5/13/2012,9,923,66.69767442
5/14/2012,9,1067,68.39534884
5/15/2012,9,976,68.97674419
5/16/2012,9,705,70.3255814
5/17/2012,9,686,70.72093023
5/18/2012,9,655,71.62790698
5/19/2012,9,770,71.76744186
5/20/2012,9,1058,68.13953488
5/21/2012,9,855,69.60465116
5/22/2012,9,614,71.58139535
5/23/2012,9,509,74.97674419
5/24/2012,9,638,75.48837209
5/25/2012,9,529,76.02325581
5/26/2012,9,578,77.8372093
5/27/2012,9,904,75.93023256
5/28/2012,9,943,75.62790698
5/29/2012,9,630,74.25581395
5/30/2012,9,716,75.13953488
5/31/2012,9,702,70.4047619
6/1/2012,9,1243,66.15
6/2/2012,9,1286,71.8372093
6/3/2012,9,1387,75.39534884
6/4/2012,9,1200,76.06976744
6/5/2012,9,1607,76
6/6/2012,9,1173,74.34210526
6/7/2012,9,1089,71.58139535
6/8/2012,9,845,73.58139535
6/9/2012,9,1167,75.74418605
6/10/2012,9,1578,77.74418605
6/11/2012,9,1295,77.09302326
6/12/2012,9,1243,76.11627907
6/13/2012,9,932,75.48837209
6/14/2012,9,717,76.875
6/15/2012,9,882,75.06976744
6/16/2012,9,840,76.25581395
6/17/2012,9,1074,76.51162791
6/18/2012,9,800,78.62790698
6/19/2012,9,760,78.70731707
6/20/2012,9,820,78.8372093
6/21/2012,9,690,77.76744186
6/22/2012,9,731,79.69767442
6/23/2012,9,914,80.55813953
6/24/2012,9,1110,80.53488372
6/25/2012,9,859,81.58139535
6/26/2012,9,726,81.86046512
6/27/2012,9,616,81.71428571
6/28/2012,9,734,81.6744186
6/29/2012,9,589,83.27906977
6/30/2012,9,725,83.30232558
7/1/2012,9,1494,82.8372093
7/2/2012,9,914,82.86046512
7/3/2012,9,1098,84
7/4/2012,9,643,84.62790698
7/5/2012,9,1089,84
7/6/2012,9,1061,83.69767442
7/7/2012,9,1015,82.8372093
7/8/2012,9,1355,81.6744186
7/9/2012,9,1017,81.51162791
7/10/2012,9,1241,80.23255814
7/11/2012,9,908,80.11627907
7/12/2012,9,874,81.55813953
7/13/2012,9,862,82.48780488
7/14/2012,9,1022,82.97560976
7/15/2012,9,1502,80.44186047
7/16/2012,9,1089,81.95348837
7/17/2012,9,796,83.37209302
7/18/2012,9,850,83.97674419
7/19/2012,9,834,83.88372093
7/20/2012,9,726,84.13953488
7/21/2012,9,861,83.46511628
7/22/2012,9,1148,84.6744186
7/23/2012,9,1050,85.11627907
7/24/2012,9,650,84.45238095
7/25/2012,9,814,85.58139535
7/26/2012,9,683,84.37209302
7/27/2012,9,768,83.46511628
7/28/2012,9,825,84.55813953
7/29/2012,9,1110,85.18604651
7/30/2012,9,1033,85.79069767
7/31/2012,9,635,86.11627907
8/1/2012,9,1511,87.5
8/2/2012,9,969,87.60465116
8/3/2012,9,975,87.02325581
8/4/2012,9,1210,85.11627907
8/5/2012,9,2034,81.93023256
8/6/2012,9,1362,83.55813953
8/7/2012,9,990,84.3255814
8/8/2012,9,986,83.51162791
8/9/2012,9,853,83.06976744
8/10/2012,9,1094,80.90697674
8/11/2012,9,1391,79.06976744
8/12/2012,9,1836,81.6744186
8/13/2012,9,1380,79.86046512
8/14/2012,9,977,78.44186047
8/15/2012,9,1088,81.60465116
8/16/2012,9,931,80.72093023
8/17/2012,9,1015,77.79069767
8/18/2012,9,1330,74.02325581
8/19/2012,9,1474,74.3255814
8/20/2012,9,866,74.69767442
8/21/2012,9,764,74.79487179
8/22/2012,9,776,76.41025641
8/23/2012,9,714,77.27906977
8/24/2012,9,850,78.30232558
8/25/2012,9,975,77.88372093
8/26/2012,9,1529,78.60465116
8/27/2012,9,821,79.74418605
8/28/2012,9,836,80.48837209
8/29/2012,9,773,78.97674419
8/30/2012,9,618,80.18604651
8/31/2012,9,774,80.65116279
9/1/2012,9,1431,81.65116279
9/2/2012,9,1159,81.90697674
9/3/2012,9,1354,83.23255814
9/4/2012,9,1061,83.09302326
9/5/2012,9,1259,82.60465116
9/6/2012,9,1109,81.55813953
9/7/2012,9,887,79.60465116
9/8/2012,9,1014,72.60465116
9/9/2012,9,1486,72.65116279
9/10/2012,9,1269,73.62790698
9/11/2012,9,1123,75.30232558
9/12/2012,9,1146,74.74418605
9/13/2012,9,896,70.93023256
9/14/2012,9,953,66.48837209
9/15/2012,9,1274,68.8372093
9/16/2012,9,1713,69.53488372
9/17/2012,9,1177,69.3255814
9/18/2012,9,1040,67.58139535
9/19/2012,9,865,70.6744186
9/20/2012,9,741,70.72093023
9/21/2012,9,813,72.46511628
9/22/2012,9,1035,71.81395349
9/23/2012,9,1437,69.25581395
9/24/2012,9,1217,72.06976744
9/25/2012,9,870,74.34883721
9/26/2012,9,730,72.06976744
9/27/2012,9,794,68.69767442
9/28/2012,9,856,69.27906977
9/29/2012,9,1079,68.95348837
9/30/2012,9,1432,68.11627907
10/1/2012,9,1664,68.41860465
10/2/2012,9,1107,68.58139535
10/3/2012,9,1060,67.3255814
10/4/2012,9,913,66.13953488
10/5/2012,9,1335,59.97674419
10/6/2012,9,1650,54.53488372
10/7/2012,9,1732,52.25581395
10/8/2012,9,1165,56.02325581
10/9/2012,9,1094,57.79069767
10/10/2012,9,1059,60.1627907
10/11/2012,9,936,65.62790698
10/12/2012,9,1296,64.76744186
10/13/2012,9,1333,64.72093023
10/14/2012,9,1858,65.34883721
10/15/2012,9,1210,67.13953488
10/16/2012,9,1183,64.88372093
10/17/2012,9,859,62.86046512
10/18/2012,9,834,59.88372093
10/19/2012,9,896,60.6744186
10/20/2012,9,885,64.18604651
10/21/2012,9,1392,68.62790698
10/22/2012,9,887,68.62790698
10/23/2012,9,756,68.39534884
10/24/2012,9,701,67.04878049
10/25/2012,9,669,59.63414634
10/26/2012,9,775,51.65853659
10/27/2012,9,1122,49.65116279
10/28/2012,9,1299,50.41860465
10/29/2012,9,1022,51.71428571
10/30/2012,9,755,55.86046512
10/31/2012,9,492,56.81395349
11/1/2012,9,1113,59.16666667
11/2/2012,9,1184,59.72093023
11/3/2012,9,1332,57.55813953
11/4/2012,9,1733,56.13953488
11/5/2012,9,1612,54.04651163
11/6/2012,9,927,52.23255814
11/7/2012,9,1003,51.06976744
11/8/2012,9,863,55.05128205
11/9/2012,9,1104,60.25581395
11/10/2012,9,1307,60.18604651
11/11/2012,9,1499,52.74418605
11/12/2012,9,1194,47.04651163
11/13/2012,9,956,48.69767442
11/14/2012,9,725,48.48837209
11/15/2012,9,757,46.46511628
11/16/2012,9,721,47.89473684
11/17/2012,9,1027,49.18604651
11/18/2012,9,1258,52.25581395
11/19/2012,9,871,54.97674419
11/20/2012,9,733,55.11627907
11/21/2012,9,602,56.23255814
11/22/2012,9,356,56.06976744
11/23/2012,9,501,46.86046512
11/24/2012,9,821,44.62790698
11/25/2012,9,1137,48.18604651
11/26/2012,9,1073,43.8372093
11/27/2012,9,811,42.65116279
11/28/2012,9,719,44.86046512
11/29/2012,9,746,50.72093023
11/30/2012,9,788,53.46511628
12/1/2012,9,1706,58.09302326
12/2/2012,9,1620,58.92682927
12/3/2012,9,1269,60
12/4/2012,9,956,53.1627907
12/5/2012,9,1156,50.78947368
12/6/2012,9,1029,51.93023256
12/7/2012,9,1234,48.90697674
12/8/2012,9,1263,50.20930233
12/9/2012,9,1645,44.44186047
12/10/2012,9,1299,38.87804878
12/11/2012,9,1168,41.02325581
12/12/2012,9,1143,42.72093023
12/13/2012,9,999,47.04651163
12/14/2012,9,1087,46.86046512
12/15/2012,9,1300,50.88372093
12/16/2012,9,1357,49.53488372
12/17/2012,9,1101,47.58139535
12/18/2012,9,1199,48.34883721
12/19/2012,9,618,48.02325581
12/20/2012,9,724,41.26190476
12/21/2012,9,781,41.97674419
12/22/2012,9,1016,41.85
12/23/2012,9,1192,42.2
12/24/2012,9,884,37.27906977
12/26/2012,9,1073,30.09302326
12/27/2012,9,907,32.13953488
12/28/2012,9,1108,33.69767442
12/29/2012,9,1017,34.90697674
12/30/2012,9,1291,32.39534884
12/31/2012,9,926,33.42857143
1/1/2013,9,1363,35.39534884
1/2/2013,9,1267,35.02325581
1/3/2013,9,925,33.53488372
